3G,4G,WiFi,Bluetooth,Dual SIM,Touch Screen,Front Camera (in MP),Primary Camera (in MP),Memory (in GB),RAM(in MB),Processor Performance,Battery Power(in mAh),Talk Time (in hrs),Mobile Weight (in g),Screen Height,Screen Width,Price Range
0,0,0,0,0,0,10,19,21,1274,5.6000000000000005,809,3,91,18,7,1
1,1,0,0,1,1,13,18,57,364,1.0,899,7,172,11,1,0
0,0,1,1,1,1,4,7,32,3699,1.4,1976,13,171,17,11,3
1,1,1,0,1,0,0,2,21,2927,6.0,879,11,187,14,13,2
0,0,0,1,0,1,0,12,36,1470,10.4,916,14,195,13,0,0
1,1,0,0,1,1,8,14,2,1050,13.6,763,8,92,6,4,0
1,0,1,0,1,1,0,2,9,2616,9.600000000000001,508,10,162,18,8,2
1,0,0,0,1,1,0,17,34,2915,23.2,825,10,99,8,2,3
1,1,1,0,0,1,8,12,46,2686,1.4,1864,18,178,11,7,2
1,1,1,0,1,1,8,12,52,1243,3.0,1725,5,185,19,18,1
0,0,1,1,0,1,10,12,52,3264,5.8,1108,13,183,16,1,3
1,1,1,0,0,1,4,18,36,2261,7.700000000000001,1011,16,131,7,6,1
1,1,1,1,1,1,17,19,55,2993,7.5,1703,20,138,5,1,3
0,0,0,1,1,1,0,0,58,706,11.9,1067,16,135,12,9,0
1,1,0,1,0,0,5,14,42,2542,12.0,1334,8,115,10,1,3
1,0,1,1,0,0,0,10,30,2523,18.2,775,9,189,17,16,2
1,0,1,1,0,0,0,0,26,336,1.2,1899,4,151,13,11,0
1,1,0,1,1,1,1,10,14,2457,7.800000000000001,930,17,97,11,7,1
0,0,1,0,0,0,2,14,19,418,6.0,1058,16,166,9,7,0
1,1,1,1,0,0,0,9,46,3917,4.4,1187,8,145,13,11,3
0,0,1,1,1,0,10,13,8,1246,18.900000000000002,1874,2,166,8,1,1
1,0,1,0,0,1,2,10,48,2971,3.5,1482,12,142,12,8,2
1,1,1,1,0,0,3,4,59,2324,5.1,1809,16,174,10,6,2
1,1,1,1,1,1,0,1,54,3121,6.0,864,16,187,18,2,2
1,1,0,1,0,0,12,20,33,3801,1.9,625,2,191,10,6,2
1,1,0,1,0,0,4,5,18,3333,5.4,1880,7,138,17,15,3
1,1,0,0,0,0,12,17,44,3475,11.2,1138,3,187,19,3,3
0,0,1,0,0,1,14,15,23,2360,4.0,560,18,146,17,16,1
1,0,0,0,0,1,1,8,12,2895,3.5,1117,16,144,7,6,2
1,0,0,0,0,0,1,12,63,3652,9.799999999999999,1712,19,137,16,1,3
0,0,0,1,1,1,3,16,26,3097,10.2,1836,18,134,5,0,3
0,0,0,1,0,1,0,3,39,2101,16.8,1036,2,119,10,7,1
0,0,0,1,0,1,15,16,23,3918,9.2,1860,8,162,9,2,3
1,1,1,1,0,1,3,19,9,3869,7.700000000000001,1375,10,145,19,18,3
1,1,0,0,1,1,0,1,57,732,6.4,1945,14,195,14,1,1
1,1,0,0,1,0,8,13,7,3684,1.0,1896,18,141,9,7,3
1,1,1,0,1,1,4,12,57,3969,20.0,788,6,91,12,8,3
1,0,0,1,1,1,0,2,33,1414,3.4,880,7,173,12,1,0
1,1,1,1,1,1,10,12,28,1892,10.0,1323,15,131,10,0,1
1,1,1,0,1,1,0,4,42,3131,2.0,1868,7,169,8,3,3
1,1,1,0,1,1,0,12,7,2532,5.699999999999999,1266,4,184,10,5,2
1,1,1,0,1,1,16,18,50,3215,18.900000000000002,1042,20,93,18,0,3
1,0,1,0,0,0,8,10,19,3323,1.5,1479,6,156,13,12,3
1,1,1,1,1,0,0,5,55,1529,4.8,1476,3,171,13,8,2
1,1,1,1,0,1,6,9,13,2403,13.200000000000001,1552,9,123,9,2,2
1,0,0,1,1,1,1,3,34,3419,2.0,1454,5,83,7,5,3
0,0,0,0,0,0,0,2,45,3648,10.0,1007,16,95,9,0,3
1,1,0,1,1,0,9,11,17,1974,12.0,652,12,173,12,10,0
1,1,1,0,0,0,12,15,34,2806,12.0,1504,7,142,7,2,2
1,0,1,1,1,0,2,3,51,2239,3.6,1726,13,193,13,9,2
1,1,1,1,1,1,5,8,5,582,9.5,1029,4,171,15,7,0
1,1,1,0,0,1,2,13,44,3890,16.799999999999997,1582,10,112,17,10,3
0,0,1,1,1,0,12,17,48,1141,4.0,1478,6,99,5,2,1
0,0,0,1,0,0,0,0,49,2511,6.5,1178,17,101,6,3,2
1,0,1,0,1,0,2,17,25,3838,6.300000000000001,707,7,131,9,2,3
1,1,1,1,0,0,5,12,51,2734,11.2,755,16,186,10,1,2
0,0,0,1,0,1,1,5,54,2330,16.0,912,20,161,19,5,1
1,1,0,1,1,1,2,4,63,2244,4.0,651,19,176,14,9,1
1,1,0,0,0,1,1,2,54,1851,14.700000000000001,1483,2,176,15,13,1
1,0,0,1,0,1,2,12,4,808,1.8,914,5,100,11,7,0
1,0,1,1,1,0,7,12,7,1587,2.5,1456,20,105,6,5,1
1,0,0,0,1,1,6,17,57,2492,6.6000000000000005,1178,10,84,16,14,2
1,1,0,1,0,0,10,14,43,2122,2.8,1503,2,166,15,1,2
0,0,1,1,0,1,2,13,11,1122,5.0,1681,16,158,12,6,0
0,0,0,0,1,0,4,6,48,3709,9.2,715,10,160,14,2,2
1,1,0,0,1,0,3,4,56,3021,8.399999999999999,1876,18,182,12,2,2
1,0,1,1,1,1,9,10,47,624,13.200000000000001,1190,19,186,9,3,0
1,1,1,1,0,0,0,2,24,3937,9.1,1755,7,134,8,1,3
1,1,1,0,0,1,3,7,20,1797,7.800000000000001,1197,4,149,19,5,1
1,1,1,1,0,0,10,19,28,1458,1.8,1048,15,194,5,1,1
1,1,0,1,1,1,6,7,17,3348,24.0,1887,16,126,18,16,3
0,0,1,1,1,1,3,15,64,1834,4.0,1772,20,116,5,2,1
1,1,1,0,0,0,0,2,57,2775,2.8,1421,14,165,13,8,3
1,1,0,0,1,0,0,8,17,1277,3.0,1464,19,153,13,6,1
1,0,1,0,1,1,4,5,23,457,9.2,728,16,111,17,10,0
1,0,0,1,0,0,0,11,50,438,1.0,954,2,134,17,0,0
1,1,1,0,1,1,8,15,13,3210,3.5,685,2,82,15,7,3
1,0,0,0,1,1,1,10,36,985,16.799999999999997,1472,7,130,12,11,1
1,1,0,1,0,1,10,16,3,3701,4.0,853,8,200,15,8,3
0,0,0,0,0,1,0,0,8,1052,14.700000000000001,1469,3,123,8,1,0
0,0,0,1,1,0,6,9,57,1175,18.4,1310,8,135,16,0,0
1,0,1,0,0,1,1,2,11,1070,12.6,1654,14,146,8,1,1
0,0,1,1,0,0,3,9,3,3411,4.8999999999999995,902,15,134,12,11,3
0,0,0,0,1,1,13,16,26,1175,4.199999999999999,1448,6,156,12,9,1
1,1,0,0,1,0,2,12,3,301,6.3,1631,13,198,13,5,0
0,0,1,0,1,0,7,13,28,489,3.6,1608,8,183,15,11,0
1,1,0,1,0,1,5,13,64,1733,5.4,1991,8,145,5,3,2
1,0,0,0,1,0,15,16,62,2756,10.0,1349,4,114,11,3,2
1,1,0,0,0,0,5,18,51,2612,2.5,1589,16,195,8,2,2
0,0,1,1,1,1,1,3,51,1724,18.4,1844,14,158,5,1,1
1,1,1,1,1,1,3,10,35,2190,1.0,712,4,84,16,12,1
1,1,1,1,0,0,0,4,54,1900,5.1,972,19,107,16,8,1
1,1,1,0,1,0,2,5,34,3915,1.5,1406,2,98,9,8,3
1,1,0,0,0,1,10,12,25,1043,5.4,1289,11,178,6,2,0
1,0,1,0,0,1,1,2,64,3817,9.1,932,9,154,8,7,3
1,1,0,1,0,1,6,19,48,2362,2.7,1747,19,94,17,2,2
0,0,0,1,1,0,4,7,41,1107,6.300000000000001,1172,5,95,7,3,1
1,0,0,1,0,1,12,14,53,2982,7.0,1128,12,84,14,9,3
1,0,0,0,1,1,0,5,28,2042,6.0,664,19,106,17,15,1
1,1,0,1,0,1,6,12,44,1343,2.0,513,9,186,5,1,0
1,1,1,0,1,0,9,12,43,2610,16.099999999999998,1742,10,170,12,3,2
1,0,1,1,0,1,12,17,6,2335,11.9,1512,7,162,15,7,2
1,1,1,0,1,1,3,20,51,1614,4.0,1986,3,165,17,12,1
0,0,0,1,1,1,5,14,13,1138,3.0,965,10,109,9,8,0
1,1,0,1,1,0,3,15,40,604,19.2,1067,11,122,16,14,0
1,1,0,1,0,0,5,10,42,3652,4.800000000000001,1583,9,118,14,10,3
1,1,1,0,1,1,2,6,37,3955,2.0,1653,18,176,19,4,3
1,0,1,0,0,1,7,11,4,258,12.8,1433,4,133,11,9,0
1,1,0,0,0,1,0,0,18,1066,20.3,765,16,153,11,1,0
0,0,0,1,1,0,10,12,61,1731,0.5,1845,6,96,9,5,1
0,0,0,0,1,0,1,13,48,3860,3.5,752,16,87,7,5,3
0,0,0,0,1,1,8,10,16,3630,14.0,1948,17,100,9,7,3
1,1,0,0,1,1,0,4,45,1965,7.5,1077,6,174,6,2,1
1,1,0,1,0,1,1,2,60,1459,2.0,932,19,104,6,1,0
0,0,1,0,0,0,0,7,22,2323,2.7,1968,7,115,9,8,2
1,0,1,0,0,1,9,14,2,3291,4.8,1122,13,120,11,2,2
1,1,0,0,0,1,0,13,61,3272,0.5,1588,17,159,18,0,3
0,0,0,0,0,0,4,18,26,918,8.4,601,12,101,9,1,0
0,0,1,0,0,0,14,16,15,3488,2.0,1615,3,132,16,2,3
1,0,1,1,1,0,2,4,58,3961,8.8,1589,14,128,16,14,3
1,1,1,1,0,0,2,4,56,590,16.200000000000003,1417,6,114,11,3,0
1,1,0,1,0,1,1,3,34,3701,0.7,1697,8,95,15,9,3
0,0,1,1,1,0,14,17,3,463,6.5,1330,11,83,14,6,0
1,1,1,0,0,0,0,2,43,3644,1.0,1476,6,148,15,10,3
1,0,1,1,0,1,0,18,27,1713,9.0,1579,10,142,16,4,1
1,1,1,0,0,1,0,3,41,429,12.0,1277,14,200,9,4,0
1,1,1,1,1,0,12,15,2,2765,4.5,1089,10,145,13,12,2
1,1,0,1,1,0,13,14,27,2084,10.0,1663,18,169,7,1,2
0,0,0,0,0,0,0,4,20,1125,9.0,1949,9,186,17,10,1
1,1,1,0,0,1,5,14,48,2048,3.3000000000000003,1138,18,109,6,0,2
1,0,1,0,0,0,7,20,17,1223,16.200000000000003,685,18,174,8,0,0
1,1,1,0,0,1,5,10,31,3672,2.8,1889,3,132,5,1,3
1,0,0,1,1,1,3,9,17,3100,14.0,857,13,195,17,5,2
0,0,0,0,1,1,6,9,50,343,22.4,1902,18,124,11,8,0
1,0,0,1,0,1,0,0,15,1970,12.0,1225,15,155,16,8,1
1,0,1,0,0,1,5,17,39,2728,8.0,1066,17,131,6,0,2
0,0,0,1,1,0,11,12,5,3635,1.5,1554,18,124,7,4,3
1,0,1,0,0,0,13,20,31,2180,1.0,1337,16,186,7,4,1
1,1,0,1,1,0,1,2,33,2488,5.1,1926,14,172,6,1,2
1,0,0,0,1,0,3,4,34,3864,2.6,869,11,104,13,3,3
0,0,1,1,1,0,1,16,54,1155,4.0,1278,20,104,7,1,0
1,1,1,1,0,0,16,18,32,3566,15.0,1773,13,170,17,6,3
1,1,1,1,1,0,1,2,6,864,5.6000000000000005,1661,2,109,9,8,1
1,1,1,0,0,1,0,6,32,869,15.400000000000002,1438,9,176,19,13,0
1,0,1,1,0,1,0,0,29,591,2.8,1661,9,119,9,2,0
0,0,1,1,0,1,1,2,19,1333,0.6,1846,11,159,15,6,1
1,1,1,1,1,0,2,10,23,2208,14.0,1260,10,123,12,11,2
0,0,1,1,1,1,7,15,15,2610,1.5,512,15,83,18,14,2
0,0,1,0,0,0,0,6,59,2819,11.0,581,9,185,19,17,2
1,0,1,1,0,0,6,15,44,1955,6.8999999999999995,1872,15,134,9,4,2
1,1,0,1,0,1,9,20,50,3416,5.2,687,8,151,14,6,3
0,0,1,1,1,0,6,13,10,3803,2.5,1062,16,160,7,3,3
1,0,0,1,1,0,11,14,7,574,2.3,1678,19,192,5,3,0
1,1,1,1,0,0,10,19,45,2129,2.0,1417,12,166,13,9,1
1,1,1,0,1,1,2,14,9,1948,14.399999999999999,1074,18,103,13,1,1
0,0,0,0,0,0,2,6,2,2978,4.8999999999999995,1832,18,90,18,7,2
1,1,1,0,0,1,0,0,12,1619,10.4,1039,10,200,7,1,1
1,0,0,0,0,1,8,18,61,3716,7.199999999999999,1059,11,134,15,13,3
0,0,1,0,0,0,3,4,57,3454,5.6,1606,20,154,13,8,3
1,1,1,1,0,1,9,20,19,3777,5.4,1928,13,187,7,2,3
1,1,1,1,1,0,11,17,55,2712,0.5,1875,6,91,7,2,3
1,1,0,1,0,0,9,10,46,1434,8.8,1128,11,135,5,0,1
1,1,1,0,1,0,6,7,14,3968,5.1,1748,3,146,16,12,3
0,0,0,0,1,0,5,11,51,3383,2.5,1413,2,117,16,5,3
1,1,1,0,1,0,0,0,23,3278,1.0,825,2,86,8,6,3
1,1,1,1,0,0,3,16,26,3970,11.2,1589,18,100,16,8,3
1,1,0,1,1,0,8,15,54,2674,4.0,535,10,145,14,8,2
1,0,1,1,0,1,6,11,27,2776,2.0,1780,14,190,19,17,3
1,1,0,0,1,0,7,11,61,2336,1.2,1671,7,129,10,4,2
1,1,1,0,0,1,9,18,12,2430,0.9,1821,6,114,7,4,2
1,1,0,1,0,1,3,8,38,891,15.600000000000001,1076,9,119,18,3,0
1,0,0,1,1,1,3,10,8,728,4.0,532,8,193,13,5,0
1,0,0,1,0,0,3,17,30,3886,13.0,777,7,148,14,10,3
1,0,1,1,0,0,3,13,17,1711,2.0,1217,9,182,7,3,1
1,0,1,1,1,1,0,2,16,2856,11.200000000000001,1656,20,117,14,3,2
1,0,1,0,0,1,0,7,31,2447,15.2,1185,3,152,16,2,2
1,1,1,0,0,1,8,20,37,814,14.399999999999999,577,19,161,11,7,0
0,0,0,1,1,1,7,16,49,2951,9.6,737,10,193,7,0,2
1,0,1,0,1,1,4,6,53,3653,13.200000000000001,704,15,186,7,1,2
0,0,0,1,1,1,5,11,51,1891,4.0,525,12,137,18,3,1
1,0,1,1,1,0,5,9,16,701,0.5,504,15,166,17,15,0
1,1,1,0,1,1,1,7,38,3139,4.8,793,12,176,6,1,3
1,0,1,0,1,0,2,9,39,2811,4.8,569,7,184,7,6,1
1,1,1,0,1,0,3,18,21,1701,9.5,1590,4,160,11,4,1
1,1,1,0,0,1,0,0,16,1853,1.0,707,12,194,17,14,1
1,1,1,0,0,1,16,17,19,2445,11.399999999999999,767,6,185,6,1,1
1,1,0,1,1,1,0,4,50,2287,4.0,1350,8,181,15,1,1
0,0,1,1,1,1,0,7,31,2003,1.2,1117,14,146,8,7,2
1,1,1,1,0,1,0,3,7,3595,1.1,641,19,192,7,5,2
1,1,1,0,1,0,0,4,35,1726,1.6,1002,19,83,16,5,1
0,0,1,1,1,0,10,14,45,3952,10.5,1408,3,89,8,6,3
1,0,1,1,1,1,1,6,41,850,16.0,1900,4,190,5,1,1
1,0,0,0,0,1,0,0,43,1446,23.2,726,8,101,17,2,0
1,1,0,0,0,1,12,20,45,1300,18.4,1544,18,113,8,7,1
1,1,1,1,0,1,6,10,21,719,6.4,1454,10,160,14,10,0
0,0,1,1,1,1,6,7,26,988,11.0,1230,9,123,11,5,0
1,1,0,0,0,0,10,18,53,2606,9.6,1552,12,180,13,6,2
1,0,0,0,0,1,0,10,32,2912,2.1,1519,15,200,11,10,2
0,0,1,1,0,1,4,7,30,2339,1.9,723,17,102,19,9,2
1,0,1,0,1,1,2,7,13,1028,2.4,1191,8,169,14,6,0
0,0,1,0,0,0,9,10,61,3173,10.4,1168,17,90,9,4,3
0,0,1,0,1,0,15,16,14,1667,1.0,1229,17,191,17,6,1
1,1,0,1,0,0,11,14,13,1897,4.0,1758,15,190,6,2,2
0,0,1,0,0,1,0,4,3,1214,3.0,1290,15,143,9,8,1
0,0,0,0,1,1,16,17,38,3269,16.799999999999997,574,10,90,8,7,2
0,0,1,1,0,0,12,15,32,445,3.5,1271,14,113,15,14,0
1,0,0,1,0,1,4,15,30,1073,9.6,1170,8,83,6,4,0
0,0,0,1,0,0,14,15,52,665,2.6,1269,5,118,18,5,1
0,0,0,0,1,0,15,20,50,3129,5.6,1288,2,121,17,6,3
1,1,0,1,1,0,0,9,34,3501,1.4,1366,3,150,13,11,3
1,1,1,1,1,1,7,8,8,3461,4.0,1572,10,169,6,3,3
1,1,0,0,1,1,9,16,32,3206,5.4,1627,16,180,12,6,3
1,1,0,1,0,1,13,15,46,3717,1.0,1701,10,115,11,0,3
1,1,1,1,1,0,0,1,55,3917,0.5,1900,18,171,15,5,3
1,0,1,0,0,0,4,13,24,861,7.0,1974,6,80,7,4,0
1,0,1,1,1,1,9,10,20,2885,2.5,1197,14,129,19,7,2
1,0,0,1,1,1,4,16,6,2777,2.3,587,14,170,9,2,2
0,0,1,0,0,0,7,12,24,1017,5.5,934,9,112,12,7,0
1,1,0,0,1,0,1,9,23,980,8.0,1195,17,82,13,9,0
1,0,0,1,0,0,2,15,23,2775,1.0,1853,17,92,14,4,3
1,1,1,0,0,0,4,18,19,3309,8.0,1164,3,95,15,3,3
1,1,1,1,0,1,8,17,18,3607,1.5,1512,6,88,12,10,3
1,1,0,0,1,0,1,17,24,1257,14.5,1232,16,169,16,10,0
1,1,0,1,1,1,0,8,5,759,1.7999999999999998,1813,14,198,9,3,0
0,0,0,1,1,1,17,20,5,3720,7.800000000000001,946,4,166,15,7,3
1,1,1,1,1,0,2,4,58,475,6.8999999999999995,739,6,88,7,6,0
1,1,1,1,0,1,8,10,29,1122,2.7,704,10,80,9,3,0
1,0,0,1,0,0,0,15,40,1336,2.0,1663,15,147,8,5,1
0,0,0,1,1,1,2,18,40,1185,11.2,1966,20,185,11,2,2
0,0,1,0,1,1,0,4,17,705,5.0,1219,6,196,11,3,0
0,0,0,1,0,0,6,12,35,3169,3.5,612,6,181,14,9,2
1,1,1,1,0,0,0,5,39,3483,1.4,1658,15,182,10,1,3
0,0,1,0,0,0,12,18,64,1183,2.5,1263,17,175,14,3,1
1,1,0,1,0,1,0,1,55,3373,8.399999999999999,1395,16,118,11,2,3
1,0,1,1,1,1,0,20,54,2801,10.8,621,5,151,6,1,2
0,0,1,0,1,0,1,2,58,565,1.5,652,9,142,18,12,0
1,0,0,0,0,0,10,12,25,3153,1.2,1175,12,145,9,4,2
1,0,1,1,0,1,0,10,11,3421,8.0,561,5,163,16,2,2
1,1,0,0,0,0,6,7,3,316,11.0,1137,17,173,15,14,0
1,1,0,1,0,0,4,13,11,448,16.099999999999998,1835,14,193,18,17,0
1,0,1,0,1,1,2,5,40,2366,17.4,1170,2,169,16,8,1
1,1,1,1,1,0,0,20,44,3881,3.2,1595,9,85,14,10,3
0,0,0,1,0,0,0,7,12,462,16.0,1719,5,122,6,3,0
1,0,0,0,1,0,0,6,7,1480,16.099999999999998,1770,17,128,6,1,1
1,1,0,0,1,0,0,0,28,1087,1.0,1312,14,163,17,16,1
1,1,1,0,1,1,5,13,56,2711,7.5,1878,3,139,8,2,2
1,1,1,1,0,1,7,14,20,2144,14.0,1871,12,81,13,12,2
1,1,1,0,1,1,1,15,35,1165,10.5,922,4,188,19,6,0
1,1,0,1,0,1,6,11,16,2998,12.0,1975,13,128,5,4,2
1,1,1,0,0,1,1,8,46,2249,10.4,1212,4,102,14,3,2
0,0,1,1,0,0,3,5,56,752,2.7,1430,17,179,17,8,0
0,0,0,1,1,0,0,3,4,1409,3.8,1958,3,190,16,5,1
1,1,0,1,1,1,0,15,30,3072,14.700000000000001,1836,5,184,7,3,3
1,0,1,1,0,0,0,0,24,1305,4.800000000000001,557,3,125,12,8,0
0,0,0,1,1,0,9,14,21,3597,4.2,539,9,145,14,5,2
0,0,1,0,1,1,1,15,44,3132,4.0,880,6,172,8,7,2
0,0,1,1,1,1,6,7,34,3856,1.8,1369,18,162,18,4,3
1,0,1,1,1,1,1,9,39,1524,2.7,1109,7,98,15,10,1
1,0,1,0,1,0,0,6,16,3673,9.0,843,20,166,12,1,3
1,0,1,0,1,0,7,10,21,3293,4.6,598,7,196,8,4,2
1,0,1,1,1,0,1,2,5,3035,10.8,972,19,126,12,7,2
1,1,0,1,0,1,5,18,36,584,3.0,1944,13,197,17,14,1
1,1,0,0,1,1,0,1,2,2675,4.8999999999999995,1225,15,138,12,11,2
1,1,1,1,1,0,7,16,30,2382,1.3,644,19,114,9,0,2
1,1,1,0,0,0,5,6,48,1391,6.0,1919,12,150,19,13,1
1,1,1,0,0,0,12,19,54,2346,9.2,501,2,131,13,12,1
1,1,0,1,1,0,0,3,30,606,6.6000000000000005,1620,18,185,6,0,0
0,0,1,1,1,1,0,3,34,1324,3.3000000000000003,1227,12,130,7,3,1
1,1,1,1,1,1,1,3,58,1076,3.0,1359,4,107,16,8,0
1,0,1,0,0,0,1,2,35,643,5.6,1914,8,118,17,1,1
1,0,0,1,0,0,1,2,21,783,12.6,1645,20,123,10,8,0
1,1,1,1,0,0,0,2,26,3809,5.5,1063,5,101,17,16,3
1,1,0,0,0,1,0,0,19,2104,16.8,946,16,154,7,4,1
1,0,0,0,1,1,5,10,54,1762,3.5999999999999996,1231,6,185,5,3,1
1,0,1,0,1,1,13,18,9,3137,17.4,1397,11,87,12,1,3
1,0,1,1,0,1,7,11,15,1756,2.0999999999999996,701,17,160,6,3,1
0,0,0,1,1,0,2,5,9,3663,3.5,570,14,111,14,10,3
1,1,0,1,0,0,10,11,27,2437,4.0,1993,9,147,14,0,2
1,0,1,0,1,1,4,8,43,1432,2.5,955,9,143,12,9,1
1,1,0,0,1,0,0,6,47,1620,4.0,924,12,167,17,15,1
0,0,0,0,0,0,0,2,14,1655,2.5,600,9,112,18,0,0
1,0,1,0,1,0,0,1,3,2832,5.6000000000000005,518,8,178,5,0,2
1,1,0,1,0,1,0,10,31,961,15.0,1063,5,95,16,6,0
0,0,1,1,0,0,2,3,46,2608,1.5,920,2,149,6,0,2
1,1,0,0,0,0,4,6,3,514,9.5,1715,13,171,7,4,0
0,0,1,1,1,0,6,8,14,2304,10.4,1841,18,167,7,1,2
1,1,0,1,1,1,4,7,60,933,2.5,543,5,132,14,0,0
1,1,1,1,1,1,13,14,25,1896,2.7,1762,20,189,14,10,1
1,0,0,1,1,1,1,16,53,3655,2.0,1112,20,121,7,3,3
0,0,1,1,1,1,0,0,35,1973,2.0,709,16,136,12,9,1
0,0,0,1,0,0,7,16,64,3278,18.2,1315,13,128,6,3,2
1,1,0,1,0,1,10,11,15,2183,20.0,1762,11,107,8,3,2
1,0,1,1,1,0,1,18,25,824,11.9,1462,13,182,15,5,0
1,0,0,0,1,1,8,20,35,2598,11.200000000000001,571,8,186,13,5,1
1,1,1,1,1,1,7,13,54,1254,1.5,666,9,81,15,9,0
1,1,1,0,1,0,2,7,7,3622,12.0,1994,20,146,7,0,3
1,0,1,1,1,0,11,16,14,1704,14.700000000000001,1583,2,148,17,13,2
1,1,0,0,1,1,3,17,45,1624,5.6,1778,9,132,15,13,1
1,1,0,1,0,1,13,17,50,3809,6.6000000000000005,1926,17,179,17,12,3
1,1,1,1,0,0,9,10,50,2574,2.4,966,5,117,10,1,2
1,0,0,0,0,0,1,4,36,950,6.0,568,9,179,17,9,0
1,1,1,0,0,1,1,2,21,273,24.0,1897,3,192,17,6,0
1,1,1,0,1,1,6,9,46,446,1.5,1695,15,200,16,13,1
1,1,0,1,0,1,6,12,61,1510,8.4,1623,17,120,12,10,2
1,1,1,1,0,1,0,0,26,1122,2.0,914,2,147,12,9,0
1,1,1,1,1,1,4,5,33,707,2.0,1721,5,128,19,2,0
0,0,0,1,1,0,4,13,44,751,17.6,890,3,198,7,3,0
1,0,0,0,0,0,1,7,48,3393,1.5,600,8,191,12,7,2
1,0,0,0,1,0,4,8,11,3771,10.8,1677,12,124,15,6,3
1,1,0,0,0,0,0,3,3,1851,2.0,723,16,168,15,3,1
1,0,0,0,1,1,11,17,27,2735,6.8,638,9,102,7,2,2
1,1,0,0,1,1,4,13,62,2253,7.0,852,7,104,17,4,1
0,0,0,1,1,1,0,1,32,452,11.200000000000001,1979,14,165,13,6,0
0,0,0,1,0,1,6,9,32,1419,2.5,710,18,151,12,11,0
1,1,0,0,1,0,2,4,45,969,7.800000000000001,1034,7,190,15,1,0
1,1,0,0,1,0,8,11,22,3441,2.5,600,5,145,19,1,2
1,1,0,0,0,0,2,7,64,3786,1.0,1027,12,103,17,12,3
1,1,0,0,0,1,5,6,13,2710,3.5999999999999996,1260,8,106,13,1,2
1,0,1,0,1,1,10,17,12,3533,10.8,1793,15,169,16,14,3
1,0,1,0,0,0,10,15,60,1735,11.5,675,13,144,7,0,0
1,1,0,1,0,0,0,3,12,3587,18.900000000000002,658,20,103,14,11,3
1,1,0,1,0,1,0,7,34,2298,4.2,1694,2,102,17,5,2
1,1,0,1,1,0,12,13,41,2027,0.8,804,11,89,11,5,1
1,0,1,0,1,0,1,3,27,2406,17.5,1713,20,127,13,10,2
1,1,1,0,0,0,13,19,31,2419,1.5,706,4,108,8,7,1
0,0,1,0,0,1,3,9,25,995,3.5,1362,18,131,7,6,0
1,1,1,0,0,1,10,14,60,2078,13.5,1527,11,154,5,3,2
0,0,1,0,1,0,0,1,19,1145,1.0,768,7,159,19,1,0
1,1,1,0,1,1,8,12,41,626,11.6,1314,4,155,10,4,0
1,1,1,1,0,1,5,9,57,1509,3.0,705,18,155,15,11,1
1,1,1,0,0,0,2,3,26,3371,13.5,1403,9,164,13,9,3
0,0,0,0,0,1,7,15,52,297,10.4,1486,15,85,13,1,0
0,0,1,0,0,0,2,7,38,3508,5.5,781,5,198,13,8,3
1,1,0,1,0,0,1,3,23,2385,12.0,986,19,183,16,9,1
0,0,1,0,0,0,0,14,33,1301,1.4,1310,19,105,13,12,1
1,1,1,1,1,0,6,12,57,2167,6.0,560,7,81,11,10,1
1,0,1,0,0,0,0,6,43,3914,6.5,1348,8,116,10,3,3
1,0,0,0,1,0,3,6,22,2312,3.0,1567,18,119,9,1,2
0,0,0,1,1,1,4,7,17,2297,4.5,1940,8,93,14,6,2
1,1,1,1,1,1,0,9,19,411,8.7,1979,2,176,8,2,0
1,1,0,1,1,1,7,13,2,665,6.300000000000001,561,4,193,10,0,0
0,0,0,1,0,1,1,3,62,3226,1.3,1717,5,130,6,4,3
1,1,0,0,0,1,1,4,48,740,1.5,535,18,113,11,10,0
1,1,0,0,1,0,4,12,39,3878,2.5,1413,4,185,19,16,3
0,0,1,0,1,0,0,0,20,3406,17.5,1358,11,135,5,1,3
1,0,1,0,0,1,2,8,30,2440,20.3,1519,10,112,9,5,2
1,0,0,0,1,1,2,6,50,3959,6.0,1254,17,108,10,4,3
1,1,0,1,0,1,3,7,49,3703,13.200000000000001,1591,20,154,17,6,3
0,0,1,1,1,1,2,15,35,3714,5.6,977,10,165,19,3,3
1,1,0,1,0,1,10,14,21,337,4.8999999999999995,1640,5,169,16,3,0
1,0,1,0,1,0,0,1,25,3176,1.6,663,2,183,6,2,2
1,1,0,1,0,0,1,3,20,1205,8.0,1744,14,112,18,7,1
1,0,0,0,1,0,8,10,28,2473,3.2,1624,2,150,16,11,2
1,1,0,1,1,1,14,20,2,1229,9.1,1108,4,169,5,3,0
1,1,1,1,1,0,0,0,9,2896,2.8,1188,16,114,12,11,3
0,0,0,0,0,1,0,11,11,2039,3.9000000000000004,817,19,144,11,6,1
1,1,1,0,1,0,5,13,6,520,6.4,863,18,133,10,2,0
1,1,1,0,1,1,5,15,3,1378,7.199999999999999,1397,4,121,18,15,1
1,0,0,0,0,0,3,12,49,3254,5.0,1108,16,140,12,0,3
1,1,0,0,1,0,1,13,37,1803,14.0,1068,7,184,5,4,1
1,1,0,1,0,0,12,15,52,2501,4.6,1702,4,145,16,12,3
1,0,1,0,1,0,0,1,8,3762,2.0,808,12,192,15,9,3
